id,use_chroma,seq_length,batch_size,lr,num_epochs,conv1_out_channels,conv2_out_channels,kernel_size,stride,pool_kernel_size,pool_stride,dropout,fc1_out,accuracy,bach_f1,beethoven_f1,chopin_f1,mozart_f1
1,1,50,8,0.001,3,32,64,3,1,2,2,0.1,128,0.59,0.8,0.43,0.42,0.31
2,1,100,8,0.001,3,32,64,3,1,2,2,0.1,128,0.65,0.85,0.54,0.47,0.3
3,1,200,8,0.001,3,32,64,3,1,2,2,0.1,128,0.61,0.81,0.48,0.52,0.23
4,1,200,8,0.001,3,32,64,5,1,2,2,0.1,128,0.61,0.81,0.25,0.57,0.39
5,1,200,8,0.001,3,32,64,7,1,2,2,0.1,128,0.61,0.81,0.41,0.35,0.34
6,1,400,8,0.001,3,32,64,3,1,2,2,0.1,128,0.61,0.81,0.49,0.4,0.35
7,0,50,8,0.001,3,32,64,3,1,2,2,0.1,128,0.69,0.86,0.61,0.49,0.43
8,0,100,8,0.001,3,32,64,3,1,2,2,0.1,128,0.69,0.87,0.61,0.46,0.47
9,0,200,8,0.001,3,32,64,3,1,2,2,0.1,128,0.74,0.91,0.67,0.57,0.48
10,0,200,8,0.001,3,32,64,5,1,2,2,0.1,128,0.68,0.89,0.63,0.28,0.41
11,0,200,8,0.001,3,32,64,7,1,2,2,0.1,128,0.71,0.9,0.65,0.39,0.45
12,0,400,8,0.001,3,32,64,3,1,2,2,0.1,128,0.75,0.9,0.69,0.49,0.56
13,0,400,8,0.001,3,32,64,5,1,2,2,0.1,128,0.73,0.91,0.66,0.43,0.49
13,0,400,8,0.001,3,32,64,7,1,2,2,0.1,128,0.72,0.88,0.66,0.57,0.49
14,0,400,8,0.001,5,32,64,3,1,2,2,0.1,128,0.75,0.9,0.69,0.5,0.58
15,0,400,8,0.001,5,32,64,5,1,2,2,0.1,128,0.76,0.92,0.67,0.66,0.49
16,0,400,8,0.001,5,32,64,7,1,2,2,0.1,128,0.72,0.91,0.62,0.59,0.5
17,0,50,8,0.001,3,64,128,3,1,2,2,0.1,256,0.69,0.87,0.62,0.42,0.43
18,0,100,8,0.001,3,64,128,3,1,2,2,0.1,256,0.73,0.9,0.67,0.53,0.47
19,0,200,8,0.001,3,64,128,3,1,2,2,0.1,256,0.73,0.89,0.68,0.42,0.52
20,0,200,8,0.001,3,64,128,5,1,2,2,0.1,256,0.71,0.87,0.64,0.62,0.49
21,0,200,8,0.001,3,64,128,7,1,2,2,0.1,256,0.7,0.9,0.59,0.32,0.48
22,0,400,8,0.001,3,64,128,3,1,2,2,0.1,256,0.68,0.91,0.59,0.23,0.44
23,0,400,8,0.001,3,64,128,5,1,2,2,0.1,256,0.61,0.77,0.58,0.42,0.32
24,0,400,8,0.001,3,64,128,7,1,2,2,0.1,256,0.69,0.9,0.64,0.15,0.48
25,0,400,8,0.001,5,64,128,3,1,2,2,0.1,256,0.71,0.89,0.67,0.48,0.45
26,0,400,8,0.001,5,64,128,5,1,2,2,0.1,256,0.72,0.87,0.67,0.47,0.45
27,0,400,8,0.001,5,64,128,7,1,2,2,0.1,256,0.76,0.9,0.72,0.46,0.53
28,0,200,8,0.001,3,32,64,7,1,2,2,0.1,128,0.71,0.9,0.65,0.39,0.45
29,0,200,8,0.001,3,32,64,7,1,2,2,0.3,128,0.71,0.9,0.65,0.39,0.45
30,0,200,8,0.001,3,32,64,7,1,2,2,0.5,128,0.71,0.9,0.65,0.39,0.45
31,0,200,8,0.001,5,32,64,7,1,2,2,0.1,128,0.74,0.9,0.66,0.49,0.52
32,0,200,8,0.001,5,32,64,7,1,2,2,0.3,128,0.74,0.9,0.66,0.49,0.52
33,0,200,8,0.001,5,32,64,7,1,2,2,0.5,128,0.74,0.9,0.66,0.49,0.52
34,0,200,8,0.001,3,32,64,7,1,2,2,0.3,128,0.71,0.9,0.65,0.39,0.45
35,0,200,8,0.001,3,32,64,7,1,2,2,0.3,128,0.71,0.9,0.65,0.39,0.45
36,0,200,8,0.001,3,32,64,7,1,2,2,0.3,128,0.71,0.9,0.65,0.39,0.45
